"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLCO2A1",-1.57811509254295,-1.0509297696717,-11.0485051932248,2.29381625043436e-24,2.09228810843191e-22,44.5478950078957
"SYNPO",-1.05962384023135,-0.311892412255984,-11.0091940304463,3.15750312934024e-24,2.83952922265316e-22,44.2319778886521
"KRT1",-2.06267314214049,-1.23563207554959,-10.9046879229008,7.36565411781616e-24,6.53190299198003e-22,43.394667665567
"SAA1",-2.31832278804678,-1.03494265083918,-10.9015160868339,7.55703613717683e-24,6.60981859395535e-22,43.3693128639463
"SLMAP",1.19453505820692,-0.897557040930954,10.8307847403763,1.33779691689634e-23,1.15430179924097e-21,42.80480666564
"SNTB2",-0.808178089123423,-0.269393181477247,-10.715770518938,3.3738422412397e-23,2.8722643613754e-21,41.89060896298
"BGN",-1.62710070817096,-0.568517733688229,-10.7105922430691,3.51694038910477e-23,2.95469268216236e-21,41.8495591624306
"APOC3",-1.93479894406649,-0.77695117263052,-10.7065805973512,3.63193521353809e-23,3.01167614784945e-21,41.8177641735881
"SH3D19",-0.938380563563369,-0.153716011339048,-10.6275001834077,6.84040900583734e-23,5.59948865413737e-21,41.192176981364
"MYO1C",-1.5040745561668,-1.0899178325099,-10.6167977780695,7.45105460337223e-23,6.02214982816857e-21,41.1076860453515
"LRRC57",-0.715615605211099,-0.19085705945532,-10.5712126290444,1.07199208806816e-22,8.55583685289398e-21,40.7482777280478
"MYO1B",-1.02868439263052,-0.0667658484161185,-10.558610445353,1.18524125824913e-22,9.34292028879095e-21,40.6490520352172
"ADD1",-0.802081997605241,-0.377874400012558,-10.5568204052873,1.20226424324903e-22,9.36153316237205e-21,40.6349625425971
"PRDX2",-1.10060783407422,-0.757506412174867,-10.4775579304873,2.25800576344407e-22,1.73703214452896e-20,40.0122700889966
"HSPA12A",-1.20913922858269,-0.505040023382628,-10.4659707777154,2.47546397265874e-22,1.88164731731262e-20,39.921436028819
"ARAP1",-0.701264739359014,0.0684331559375099,-10.4016088378663,4.12162619903202e-22,3.09606862127288e-20,39.4178067681851
"ITIH5",-1.26163156342011,-0.756671785687828,-10.3979216755386,4.24358232138636e-22,3.15061315372697e-20,39.3890022061351
"LIMCH1",-1.224090874872,-0.620710493309065,-10.356928905975,5.86649931920436e-22,4.30547105208274e-20,39.0691094807534
"CLIC3",-1.45899977847844,-0.759061223141761,-10.301899036437,9.05223151204384e-22,6.5680111595909e-20,38.6406860596677
